stid,hisei,hisced,famstruc,sex,hlang,wealth,m2m_p,m2m_s,wkp2019,hsl2019,hel2019,fts2019,sa3,brthplace_aust_2011_ce_p,brthplace_elsewhere_2011_ce_p,lsh_eng_only_2011_ce_p,lsh_oth_lan_2011_ce_p,med_tot_hh_inc_wee_c2011,average_hh_size_c2011,lfs_unem_lfw_c11_m,lfs_tot_lforc_c11_m,n_lforc_c11_m
2672,56,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.7,"1 No, never","1 No, never",1870.34,1 Year 12,BA,3 Not studying,40402,37320,15975,39520,14288,946,2.3,1060,14312,7411
2673,43,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1,"1 No, never","1 No, never",1682.59,1 Year 12,BA,2 Part-time,60401,41380,4056,45078,988,836,2.4,867,11191,6338
2674,54,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,.21,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,21205,82520,73119,84237,72379,1319,2.7,2661,42930,21327
2675,52,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.98,"1 No, never","1 No, never",2228.68,1 Year 12,Post-grad,3 Not studying,50603,43652,40572,56448,27873,1384,2.7,1410,25291,9002
2676,68,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,2 Another language,.21,"1 No, never","1 No, never",,1 Year 12,Cert I/II,3 Not studying,21401,91795,27585,107569,12910,1140,2.5,1823,34240,12359
2677,30,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,2 Another language,.7,"1 No, never","1 No, never",,1 Year 12,No qual,3 Not studying,21201,58779,12259,66350,5205,1303,2.8,822,20581,6019
2678,59,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,.39,"1 No, never","1 No, never",,1 Year 12,No qual,2 Part-time,10801,24989,2925,27674,671,725,2.2,526,5528,5843
2679,70,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,3.44,"1 No, never","1 No, never",968.52,1 Year 12,BA,3 Not studying,10704,88577,26071,96391,19211,1163,2.5,2182,30577,15603
2680,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,1 Female,1 Language of test,1.77,"1 No, never","1 No, never",386.72,1 Year 12,Post-grad,1 Full-time,50102,71260,17428,83434,5635,1342,2.6,1171,25911,8657
2681,56,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1,"2 Yes, once","1 No, never",1269.43,1 Year 12,BA,3 Not studying,80107,67563,16338,73268,11140,1963,2.8,866,26249,6328
2682,38,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,2 Male,1 Language of test,.44,"1 No, never","1 No, never",733.4,1 Year 12,No qual,3 Not studying,30602,67546,18487,74442,12211,1082,2.5,1932,24355,8281
2683,87,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.71,"1 No, never","1 No, never",1108.74,1 Year 12,BA,2 Part-time,80105,31194,13585,35235,9739,1819,2.2,773,14377,5247
2684,34,5 ISCED 5B - TAFE Diploma,2 Nuclear family,2 Male,1 Language of test,1.77,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,10202,123533,17954,136940,5934,932,2.5,2695,34109,19381
2685,43,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,1 Female,1 Language of test,.02,"1 No, never","1 No, never",452.19,1 Year 12,Cert III/IV/Dip,3 Not studying,80108,17205,4813,19347,2788,1834,2.5,201,6160,2350
2686,56,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.2,"1 No, never","1 No, never",1816.88,1 Year 12,BA,3 Not studying,12101,55961,39609,64903,31025,2071,2.6,1168,27937,8738
2687,74,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.72,"1 No, never","1 No, never",1390.47,1 Year 12,BA,2 Part-time,50302,49124,34783,64428,19778,1702,2.1,1186,28999,7367
2688,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.77,"1 No, never","1 No, never",1369.88,3 Year 10,Cert III/IV/Dip,1 Full-time,10601,72040,5631,76536,1582,1181,2.6,1032,21220,9341
2689,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.6899999999999999,"1 No, never","1 No, never",1731.93,1 Year 12,BA,3 Not studying,40303,45994,13661,51674,8352,1381,2.5,773,16435,7127
2690,56,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.33,"2 Yes, once","2 Yes, once",910.93,1 Year 12,Cert III/IV/Dip,3 Not studying,11303,78891,6157,82235,3170,1022,2.5,1082,23107,10103
2691,77,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.71,"1 No, never","1 No, never",,1 Year 12,Post-grad,3 Not studying,50704,60326,33691,76972,17651,1634,2.6,1119,27239,9765
2692,87,"3 ISCED 3B, 3C - Yr 10 or 11",1 Single parent family,1 Female,1 Language of test,.01,"1 No, never","2 Yes, once",878.35,1 Year 12,Post-grad,2 Part-time,11702,29165,17791,30466,16824,1567,2.4,883,14708,4960
2693,66,5 ISCED 5B - TAFE Diploma,2 Nuclear family,2 Male,1 Language of test,.99,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,10501,21563,1464,22659,725,876,2.4,455,6248,3006
2694,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.32,"1 No, never","1 No, never",1371.67,1 Year 12,BA,3 Not studying,12302,97084,41430,102710,37043,1253,2.9,2664,38252,14204
2695,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.7,"1 No, never","1 No, never",629.16,1 Year 12,BA,3 Not studying,10901,49015,5447,52252,2701,1008,2.4,821,14830,6123
2696,43,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,20803,75801,27920,84866,19652,1318,2.5,1264,29771,10686
2697,85,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",,1 Year 12,No qual,3 Not studying,50102,71260,17428,83434,5635,1342,2.6,1171,25911,8657
2698,53,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.99,"2 Yes, once","1 No, never",646.88,1 Year 12,BA,3 Not studying,60104,24803,5297,28465,1744,1247,2.6,386,7889,3336
2699,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1,"1 No, never","1 No, never",3683.26,1 Year 12,BA,3 Not studying,20903,52438,9374,57130,5033,1826,3,679,18987,5058
2700,52,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",1 Single parent family,2 Male,1 Language of test,1.33,"1 No, never","1 No, never",345.08,2 Year 11,Cert III/IV/Dip,1 Full-time,80107,67563,16338,73268,11140,1963,2.8,866,26249,6328
2701,69,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,.23,"1 No, never","1 No, never",,1 Year 12,No qual,3 Not studying,80106,17032,5852,19153,3838,2383,2.3,269,7125,2262
2702,88,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.43,"1 No, never","1 No, never",1145.11,1 Year 12,BA,3 Not studying,20403,55703,6743,59758,3127,994,2.4,851,17371,7211
2703,56,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,2 Male,1 Language of test,1.33,"1 No, never","1 No, never",168.95,1 Year 12,No qual,2 Part-time,50403,66121,31097,81106,16501,1457,2.8,1239,28853,7832
2704,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.45,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,30503,53503,18002,62044,9727,1721,2.3,1088,23468,5927
2705,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,1 Female,1 Language of test,.45,"1 No, never","1 No, never",,1 Year 12,BA,2 Part-time,50603,43652,40572,56448,27873,1384,2.7,1410,25291,9002
2706,56,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.33,"1 No, never","1 No, never",,1 Year 12,Post-grad,3 Not studying,11501,83256,46915,91198,39564,2139,3.1,1675,38055,11839
2707,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.44,"1 No, never","1 No, never",150.93,1 Year 12,Cert III/IV/Dip,3 Not studying,11202,60016,5746,64112,2386,852,2.4,1447,16150,9356
2708,53,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",1 Single parent family,1 Female,1 Language of test,.44,"1 No, never","2 Yes, once",,1 Year 12,Cert III/IV/Dip,3 Not studying,10802,40434,3757,43393,973,727,2.3,994,8884,8845
2709,54,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.98,"1 No, never","1 No, never",2780.74,1 Year 12,BA,3 Not studying,20903,52438,9374,57130,5033,1826,3,679,18987,5058
2710,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.34,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,60302,14516,2665,16785,558,865,2.4,298,4199,2742
2711,43,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",3 Mixed,2 Male,1 Language of test,.98,"3 Yes, twice or more","2 Yes, once",894.88,1 Year 12,No qual,3 Not studying,11002,33563,2294,35532,717,744,2.4,609,8478,5531
2712,69,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.22,"1 No, never","1 No, never",1074.44,1 Year 12,Cert III/IV/Dip,3 Not studying,21402,110388,26276,130624,7159,1054,2.4,1563,35511,17908
2713,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.33,"2 Yes, once","1 No, never",,1 Year 12,BA,1 Full-time,12303,30197,4518,33188,1839,1439,2.9,390,9948,3330
2714,30,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",789.28,1 Year 12,Cert I/II,3 Not studying,60202,18317,2671,20785,441,877,2.4,315,5294,2995
2715,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,50501,89359,57435,132437,14989,1780,2.8,1743,45877,11890
2716,69,2 ISCED 2 - Some secondary but didn't complete Yr 10,2 Nuclear family,1 Female,1 Language of test,0,"1 No, never","2 Yes, once",,1 Year 12,Cert III/IV/Dip,3 Not studying,40601,46735,6754,51295,2402,933,2.3,875,14816,6550
2717,51,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,2 Another language,.01,"1 No, never","1 No, never",1013.96,1 Year 12,Post-grad,3 Not studying,12503,70160,56843,51526,76166,1060,3,2650,32043,16924
2718,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",1319.41,1 Year 12,BA,3 Not studying,21105,114209,23528,130102,8665,1281,2.7,1521,40730,13271
2719,51,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,2.39,"1 No, never","1 No, never",738.0700000000001,1 Year 12,BA,3 Not studying,20703,57749,32881,60835,30268,1295,2.6,1455,24199,11232
2720,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",1674.17,1 Year 12,Cert III/IV/Dip,2 Part-time,31606,35810,7980,42600,1505,1028,2.6,743,11312,5657
2721,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.71,"3 Yes, twice or more","1 No, never",1157.99,1 Year 12,BA,3 Not studying,50604,60130,39647,76429,23232,1371,2.8,1507,29715,9526
2722,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,20101,82581,8259,87613,3896,998,2.4,1412,23809,10685
2723,69,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,.22,"1 No, never","1 No, never",,1 Year 12,No qual,3 Not studying,10903,35525,2634,37866,805,837,2.3,413,9984,5536
2724,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.6899999999999999,"1 No, never","1 No, never",225.07,1 Year 12,BA,3 Not studying,10302,48913,2584,51246,987,824,2.4,690,13182,6940
2725,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.33,"1 No, never","1 No, never",2103.01,1 Year 12,No qual,3 Not studying,21203,79299,43661,87290,36389,1339,3.1,1842,35790,10012
2726,56,5 ISCED 5B - TAFE Diploma,1 Single parent family,1 Female,1 Language of test,.22,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,2 Part-time,10106,29778,2728,31793,1035,1068,2.5,364,8903,3661
2727,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,2 Another language,.87,"1 No, never","1 No, never",,1 Year 12,BA,1 Full-time,12101,55961,39609,64903,31025,2071,2.6,1168,27937,8738
2728,51,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,1 Female,1 Language of test,.99,"2 Yes, once","1 No, never",69.92,2 Year 11,Cert III/IV/Dip,3 Not studying,60203,31181,3534,34633,622,811,2.4,722,8715,5426
2729,33,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.2,"1 No, never","1 No, never",2375.26,1 Year 12,BA,3 Not studying,51104,42680,7418,47346,2873,1128,2.5,760,14779,5378
2730,65,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.21,"1 No, never","1 No, never",,1 Year 12,No qual,1 Full-time,12202,41670,12960,50693,4297,1818,2.7,513,15578,5480
2731,66,5 ISCED 5B - TAFE Diploma,2 Nuclear family,2 Male,1 Language of test,1.34,"1 No, never","1 No, never",580.67,4 Year 9 or below,BA,3 Not studying,51104,42680,7418,47346,2873,1128,2.5,760,14779,5378
2732,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.7,"1 No, never","1 No, never",1121.27,1 Year 12,BA,3 Not studying,31401,63909,14313,74636,3919,1875,3,921,23656,5749
2733,69,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,.44,"2 Yes, once","1 No, never",721.88,1 Year 12,BA,3 Not studying,21303,37451,28422,35587,30676,1258,2.5,1394,20228,7310
2734,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,21704,42122,3273,44652,1177,1032,2.5,598,12712,4756
2735,51,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.79,"1 No, never","1 No, never",978.62,1 Year 12,BA,3 Not studying,31403,27315,6729,31789,2454,1319,2.7,644,10048,2982
2736,77,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.44,"2 Yes, once","1 No, never",192.06,1 Year 12,BA,3 Not studying,50302,49124,34783,64428,19778,1702,2.1,1186,28999,7367
2737,49,2 ISCED 2 - Some secondary but didn't complete Yr 10,2 Nuclear family,1 Female,1 Language of test,.22,"1 No, never","1 No, never",,1 Year 12,No qual,3 Not studying,30204,38567,11663,44850,5588,1286,2.5,766,14090,5260
2738,88,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.76,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,60201,66263,9390,72032,4240,946,2.4,1405,19746,9482
2739,69,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,.45,"1 No, never","1 No, never",1315.16,1 Year 12,BA,1 Full-time,40504,20787,2278,22952,408,735,2.2,328,5195,4396
2740,51,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,2 Another language,.98,"1 No, never","1 No, never",1729.38,1 Year 12,BA,3 Not studying,50501,89359,57435,132437,14989,1780,2.8,1743,45877,11890
2741,43,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,31802,139883,23192,152671,10474,1381,2.6,2347,48225,14957
2742,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.44,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,20601,49025,25281,47158,27733,1365,2.4,1353,22399,7915
2743,51,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,1 Female,1 Language of test,.71,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,60105,36197,10212,40416,6129,1261,2.3,823,13101,5884
2744,28,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,.98,"1 No, never","1 No, never",975.33,1 Year 12,Cert III/IV/Dip,2 Part-time,11602,45604,26847,47111,24899,1924,3.2,987,21409,5505
2745,49,5 ISCED 5B - TAFE Diploma,2 Nuclear family,2 Male,1 Language of test,.6899999999999999,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,21101,103084,41506,114056,31565,1401,2.8,1943,43166,14033
2746,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.75,"1 No, never","1 No, never",872.79,1 Year 12,BA,3 Not studying,20504,58173,9919,63876,4980,942,2.4,1470,17586,8840
2747,54,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.79,"1 No, never","1 No, never",1657.3,1 Year 12,BA,3 Not studying,31603,37975,10092,46148,2366,983,2.3,1036,13233,5925
2748,53,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,.99,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,20801,65048,22475,75682,12200,1826,2.6,926,23800,9183
2749,19,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,2 Male,1 Language of test,1.77,"1 No, never","2 Yes, once",1892.49,1 Year 12,Cert III/IV/Dip,3 Not studying,11402,35558,6743,40543,1993,1093,2.5,432,10602,5493
2750,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.78,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,40202,58174,17457,68632,7613,891,2.6,1810,18763,9737
2751,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.71,"1 No, never","2 Yes, once",1569.52,1 Year 12,BA,2 Part-time,20303,50291,7558,56075,2231,1130,2.5,626,14902,7423
2752,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.72,"1 No, never","1 No, never",383.65,1 Year 12,BA,3 Not studying,20703,57749,32881,60835,30268,1295,2.6,1455,24199,11232
2753,43,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,2 Male,1 Language of test,.43,"2 Yes, once","1 No, never",1659.68,1 Year 12,Cert III/IV/Dip,3 Not studying,11203,67478,12783,77989,3122,845,2.4,1649,18390,12954
2754,59,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.21,"1 No, never","1 No, never",1185.57,1 Year 12,BA,3 Not studying,40304,119526,35139,145916,9707,1083,2.5,2650,42854,17675
2755,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.7,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,10106,29778,2728,31793,1035,1068,2.5,364,8903,3661
2756,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,1.77,"1 No, never","1 No, never",2151.12,1 Year 12,BA,3 Not studying,10202,123533,17954,136940,5934,932,2.5,2695,34109,19381
2757,51,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",,1 Year 12,BA,2 Part-time,50501,89359,57435,132437,14989,1780,2.8,1743,45877,11890
2758,56,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,2 Another language,.58,"1 No, never","1 No, never",,1 Year 12,Post-grad,2 Part-time,20503,46571,7478,52182,2375,886,2.3,574,13985,7613
2759,43,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",1 Single parent family,2 Male,1 Language of test,.99,"1 No, never","1 No, never",469.23,3 Year 10,Cert III/IV/Dip,3 Not studying,21105,114209,23528,130102,8665,1281,2.7,1521,40730,13271
2760,88,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,2 Another language,1.78,"1 No, never","1 No, never",2260.81,1 Year 12,BA,1 Full-time,40303,45994,13661,51674,8352,1381,2.5,773,16435,7127
2761,56,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.35,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,1 Full-time,40701,36030,8077,43266,1294,812,2.2,646,10357,7583
2762,49,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,.21,"1 No, never","1 No, never",1554.32,1 Year 12,Cert III/IV/Dip,3 Not studying,40502,19029,2089,20864,436,851,2.3,238,5604,2955
2763,49,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.45,"1 No, never","1 No, never",,1 Year 12,No qual,3 Not studying,10801,24989,2925,27674,671,725,2.2,526,5528,5843
2764,59,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,2 Male,1 Language of test,1.34,"1 No, never","1 No, never",,1 Year 12,No qual,1 Full-time,31403,27315,6729,31789,2454,1319,2.7,644,10048,2982
2765,51,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.72,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,50605,35805,14941,46752,4230,1521,2.7,558,15222,4717
2766,54,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,0,"2 Yes, once","2 Yes, once",,1 Year 12,Cert III/IV/Dip,3 Not studying,30701,37618,2570,39582,1023,1052,2.5,376,12152,3550
2767,41,"3 ISCED 3B, 3C - Yr 10 or 11",2 Nuclear family,1 Female,1 Language of test,.45,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,60201,66263,9390,72032,4240,946,2.4,1405,19746,9482
2768,65,2 ISCED 2 - Some secondary but didn't complete Yr 10,2 Nuclear family,1 Female,1 Language of test,.45,"1 No, never","1 No, never",1224.01,1 Year 12,Cert III/IV/Dip,3 Not studying,40304,119526,35139,145916,9707,1083,2.5,2650,42854,17675
2769,66,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,.01,"3 Yes, twice or more","3 Yes, twice or more",,1 Year 12,Post-grad,1 Full-time,11303,78891,6157,82235,3170,1022,2.5,1082,23107,10103
2770,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.33,"1 No, never","1 No, never",,1 Year 12,Cert I/II,3 Not studying,10902,10872,751,11284,500,861,2.4,165,3259,1477
2771,66,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",1750.16,1 Year 12,BA,2 Part-time,50605,35805,14941,46752,4230,1521,2.7,558,15222,4717
2772,43,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,1.33,"1 No, never","1 No, never",934.52,1 Year 12,No qual,3 Not studying,60104,24803,5297,28465,1744,1247,2.6,386,7889,3336
2773,53,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,1.78,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,10106,29778,2728,31793,1035,1068,2.5,364,8903,3661
2774,25,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,2 Male,1 Language of test,.45,"1 No, never","1 No, never",1856.55,1 Year 12,BA,3 Not studying,40106,18680,7125,19659,6302,1363,2.4,373,7545,2949
2775,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,1 Female,1 Language of test,.44,"1 No, never","1 No, never",179.56,1 Year 12,No qual,2 Part-time,80109,22362,9447,25292,6674,1822,2.4,332,9101,3548
2776,49,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",44.37,1 Year 12,Cert III/IV/Dip,3 Not studying,50503,83502,60453,117868,26917,1514,2.9,1841,41615,11281
2777,49,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",1 Single parent family,1 Female,1 Language of test,.38,"1 No, never","1 No, never",,1 Year 12,Cert III/IV/Dip,3 Not studying,31503,17515,1167,18402,483,987,2.4,187,5718,1637
2778,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.21,"3 Yes, twice or more","1 No, never",1324.84,1 Year 12,BA,3 Not studying,11103,128310,19141,136109,12679,1154,2.4,2486,40740,18618
2779,71,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.57,"1 No, never","1 No, never",1836.11,1 Year 12,BA,3 Not studying,10102,41311,9235,44878,6042,1688,2.6,473,15856,4095
