stid,hisei,hisced,famstruc,sex,hlang,wealth,m2m_p,m2m_s,wkp2019,hsl2019,hel2019,fts2019,sa3,brthplace_aust_2011_ce_p,brthplace_elsewhere_2011_ce_p,lsh_eng_only_2011_ce_p,lsh_oth_lan_2011_ce_p,med_tot_hh_inc_wee_c2011,average_hh_size_c2011,lfs_unem_lfw_c11_m,lfs_tot_lforc_c11_m,n_lforc_c11_m
1283,69,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.01,"1 No, never","1 No, never",516.4400000000001,1 Year 12,Post-grad,3 Not studying,40302,59722,21281,68764,12742,1064,2.3,1274,22259,10045
1284,77,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.6899999999999999,"1 No, never","1 No, never",233.93,1 Year 12,Cert III/IV/Dip,3 Not studying,11001,30322,3494,32434,1753,960,2.4,593,8805,4262
1285,85,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.21,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,12003,63342,64710,59005,69711,1417,2.6,2289,37654,14421
1286,34,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.22,"1 No, never","1 No, never",1652.43,1 Year 12,BA,3 Not studying,20401,41784,5353,45746,1892,922,2.4,573,12770,6420
1287,69,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.01,"1 No, never","1 No, never",195.19,2 Year 11,Post-grad,1 Full-time,21001,37019,15563,34685,18195,1293,2.7,635,14330,6690
1288,38,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,2 Male,1 Language of test,.21,"1 No, never","1 No, never",358.88,1 Year 12,BA,3 Not studying,30103,47629,14504,57144,5391,1486,2.6,887,17977,5529
1289,16,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,2.38,"1 No, never","1 No, never",2074.8,1 Year 12,BA,3 Not studying,10202,123533,17954,136940,5934,932,2.5,2695,34109,19381
1290,66,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.77,"1 No, never","1 No, never",1804.16,1 Year 12,BA,3 Not studying,80103,1098,250,976,77,846,1.8,32,386,421
1291,49,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,1.65,"1 No, never","1 No, never",612.09,1 Year 12,BA,3 Not studying,10701,52549,15869,56330,12890,1003,2.6,1296,17146,9699
1292,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,1.33,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,12103,66690,38884,82884,22975,2508,2.9,1259,27822,11590
1293,54,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,1 Female,1 Language of test,.98,"1 No, never","1 No, never",874.53,1 Year 12,Cert III/IV/Dip,3 Not studying,30703,32939,3749,35495,1541,841,2.5,455,9201,4827
1294,70,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",2 Nuclear family,2 Male,1 Language of test,.39,"1 No, never","1 No, never",1433.08,1 Year 12,BA,3 Not studying,10903,35525,2634,37866,805,837,2.3,413,9984,5536
1295,51,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,.99,"1 No, never","1 No, never",560.09,1 Year 12,Cert III/IV/Dip,3 Not studying,20503,46571,7478,52182,2375,886,2.3,574,13985,7613
1296,51,5 ISCED 5B - TAFE Diploma,2 Nuclear family,1 Female,2 Another language,.99,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,11602,45604,26847,47111,24899,1924,3.2,987,21409,5505
1297,37,"4 ISCED 3A - Year 12, ISCED 4 - TAFE Training Certificate",2 Nuclear family,1 Female,1 Language of test,1.34,"1 No, never","1 No, never",1541.93,1 Year 12,BA,2 Part-time,60202,18317,2671,20785,441,877,2.4,315,5294,2995
1298,53,"6 ISCED 5A - Uni degree, ISCED 6 - PhD or equivalent",1 Single parent family,1 Female,1 Language of test,.71,"1 No, never","1 No, never",,1 Year 12,BA,3 Not studying,11601,70172,49124,71582,48633,1306,2.9,2168,33459,12593
